13550089	_synset_domain_topic_of	06055946
02460684	_hypernym	01864707
12945708	_hypernym	11585340
15145782	_hypernym	15290337
09157163	_instance_hypernym	08655464
12860254	_hypernym	11579418
02117369	_hypernym	01864707
11338796	_instance_hypernym	09798811
09375693	_instance_hypernym	09360122
02645143	_hypernym	01432517
01279615	_instance_hypernym	00956485
12200315	_hypernym	11575425
12513426	_hypernym	11585340
12883395	_hypernym	11579418
12508077	_hypernym	11585340
08920924	_has_part	08926543
08159924	_hypernym	07971582
00470701	_hypernym	01323958
09373716	_instance_hypernym	09411430
11860801	_hypernym	11573660
02012344	_hypernym	01850315
08898187	_instance_hypernym	08633957
13196545	_hypernym	13167078
07040148	_hypernym	07037465
12079737	_hypernym	11556857
09162803	_instance_hypernym	08633957
12583529	_hypernym	11556857
08945821	_instance_hypernym	08698379
09027089	_instance_hypernym	08633957
00239321	_hypernym	00109660
04543772	_has_part	04283378
12723610	_hypernym	13118707
12969670	_hypernym	12969131
12250413	_hypernym	11565385
01401772	_hypernym	01400044
02333368	_hypernym	01864707
12898226	_hypernym	11579418
12201166	_hypernym	11575425
06436443	_instance_hypernym	06394865
02271740	_hypernym	01759182
01723259	_hypernym	01656813
01292928	_instance_hypernym	00956485
09809749	_synset_domain_topic_of	08199025
02029571	_hypernym	01507175
11771383	_hypernym	11567411
01931398	_hypernym	01921887
10484858	_synset_domain_topic_of	08441203
09093608	_instance_hypernym	08655464
02163982	_hypernym	01342529
11918631	_hypernym	11579418
15151255	_hypernym	15144371
02346823	_hypernym	01862557
12006503	_hypernym	11579418
01664244	_hypernym	01657723
02422249	_hypernym	01864707
12536665	_hypernym	11585340
09720033	_hypernym	09686536
11972141	_hypernym	11579418
08776687	_instance_hypernym	08702402
12321395	_hypernym	12320010
09112857	_instance_hypernym	08524735
08928933	_instance_hypernym	08524735
12501745	_hypernym	11566682
08851500	_instance_hypernym	08633957
02499178	_hypernym	01864707
08025497	_instance_hypernym	08392137
12761123	_hypernym	11567411
12299988	_hypernym	11562747
08030711	_instance_hypernym	08392137
02895154	_hypernym	02740764
03804744	_has_part	03501288
08032594	_synset_domain_topic_of	00759694
12485811	_hypernym	11567411
08788004	_instance_hypernym	08574314
01700076	_hypernym	01342529
11975853	_hypernym	11579418
04579986	_synset_domain_topic_of	00503237
02299924	_hypernym	02298632
01190561	_synset_domain_topic_of	08441203
01566386	_hypernym	01504437
13651218	_hypernym	13603305
12724201	_member_meronym	12725940
08107191	_synset_domain_topic_of	06037666
13751829	_hypernym	13745420
12574727	_hypernym	11585340
02642430	_hypernym	01429349
02181863	_hypernym	01759182
10092488	_synset_domain_topic_of	00475787
11804082	_member_meronym	11804604
08765315	_instance_hypernym	08524735
00981180	_synset_domain_topic_of	08199025
13081050	_hypernym	11592146
01959927	_synset_domain_topic_of	00450335
02308325	_hypernym	01762525
11999958	_hypernym	11579418
11880218	_hypernym	11575425
08018189	_synset_domain_topic_of	00759694
11013876	_instance_hypernym	10022111
00500280	_hypernym	00565302
01558765	_hypernym	01557185
