05399034	_derivationally_related_form	00194170
07491981	_derivationally_related_form	01820302
06503224	_derivationally_related_form	00277399
00090253	_derivationally_related_form	10511069
11322178	_instance_hypernym	10599806
08742205	_instance_hypernym	08524735
00661091	_derivationally_related_form	10707233
01336587	_derivationally_related_form	05645597
07334490	_derivationally_related_form	00478830
05075602	_derivationally_related_form	02333689
00730499	_hypernym	00650353
00776988	_derivationally_related_form	09503282
13809920	_derivationally_related_form	00956250
01573515	_derivationally_related_form	14295248
00607405	_derivationally_related_form	05996646
10034614	_derivationally_related_form	01170052
11648617	_hypernym	11554175
06838543	_hypernym	06828818
11723655	_hypernym	11571907
10468750	_derivationally_related_form	15266265
07334490	_derivationally_related_form	01621219
00592535	_derivationally_related_form	10104209
00540235	_derivationally_related_form	00367768
00168217	_derivationally_related_form	00364787
05090441	_derivationally_related_form	00434077
01973125	_derivationally_related_form	03693973
02483564	_derivationally_related_form	13737480
00366691	_derivationally_related_form	04975340
03472232	_derivationally_related_form	00099721
08018189	_synset_domain_topic_of	00759694
11999958	_hypernym	11579418
11350705	_instance_hypernym	10084635
07040148	_hypernym	07037465
00755500	_derivationally_related_form	00838524
00751567	_derivationally_related_form	07169848
02055975	_derivationally_related_form	15282696
00849788	_derivationally_related_form	06780069
09373716	_instance_hypernym	09411430
00821580	_verb_group	00821765
13286099	_derivationally_related_form	02234988
06721949	_derivationally_related_form	00941990
02038357	_derivationally_related_form	05068080
08101410	_derivationally_related_form	01429455
01867295	_derivationally_related_form	01627355
01706129	_derivationally_related_form	09809925
10466198	_derivationally_related_form	00901103
00367685	_derivationally_related_form	00146856
00043902	_synset_domain_topic_of	00471613
06178812	_derivationally_related_form	10256080
08912703	_instance_hypernym	08524735
00084107	_derivationally_related_form	00698609
01690294	_synset_domain_topic_of	00933420
00095377	_derivationally_related_form	07719437
02428487	_derivationally_related_form	00053913
00744506	_derivationally_related_form	04769049
00877559	_derivationally_related_form	07143624
00381680	_derivationally_related_form	02622234
02299924	_hypernym	02298632
01216515	_synset_domain_topic_of	08199025
13902048	_derivationally_related_form	01742244
00900616	_also_see	01580050
01566386	_hypernym	01504437
02046755	_derivationally_related_form	00343249
09093608	_instance_hypernym	08655464
02686625	_verb_group	01212230
03328650	_hypernym	02707683
10351874	_derivationally_related_form	00761713
13566535	_derivationally_related_form	00376106
06877742	_derivationally_related_form	00034758
00968211	_derivationally_related_form	10483138
05015463	_derivationally_related_form	00369864
02575082	_derivationally_related_form	00752431
00788766	_derivationally_related_form	02531199
03065516	_derivationally_related_form	05971394
01066775	_derivationally_related_form	01254685
07409592	_derivationally_related_form	02685665
13282161	_derivationally_related_form	02284951
00456596	_verb_group	00456740
02128873	_derivationally_related_form	10633450
02568884	_derivationally_related_form	10626194
12201166	_hypernym	11575425
00966869	_derivationally_related_form	02344568
01512465	_derivationally_related_form	00105164
10702307	_synset_domain_topic_of	08199025
01322854	_derivationally_related_form	00223983
10235549	_derivationally_related_form	13928388
03804744	_derivationally_related_form	01357831
00112628	_derivationally_related_form	05783940
02000036	_hypernym	01759182
02748927	_derivationally_related_form	03169390
10040789	_derivationally_related_form	03260293
00834198	_derivationally_related_form	01642924
07233996	_derivationally_related_form	00865958
00347652	_derivationally_related_form	01898592
01276436	_instance_hypernym	00956485
01941987	_synset_domain_topic_of	00300441
02466111	_also_see	01222884
00095971	_derivationally_related_form	00265386
04543772	_has_part	04283378
00260648	_derivationally_related_form	04083468
