original_score,new_scores,new_ranks,perspective,new_rank,prediction,facts,new_score,original_rank,#facts
0.9920915365219116,"[0.9954806566238403, 0.9975454211235046, 0.9881105422973633]","[1, 1, 1]",all,1.0,"(7278, 118, 774)","[(226, 15, 592), (592, 127, 226), (592, 62, 226), (226, 118, 774), (7278, 66, 592)]",0.9937122066815695,1,5
0.9962792992591858,"[0.9978457689285278, 0.9864934086799622, 0.9935101866722107]","[1, 1, 1]",all,1.0,"(5628, 25, 62)","[(3663, 20, 4406), (3663, 20, 5628), (4406, 25, 62)]",0.9926164547602335,1,3
0.9941210150718689,"[0.9824082255363464, 0.9929019808769226, 0.9881919026374817]","[1, 1, 1]",all,1.0,"(1567, 167, 1768)","[(3921, 167, 1768)]",0.9878340363502502,1,1
0.8807279467582703,"[0.8672458529472351, 0.8350762128829956, 0.5820683240890503]","[1, 1, 1]",all,1.0,"(535, 48, 32)","[(535, 17, 243)]",0.761463463306427,1,1
0.831730842590332,"[0.5117723345756531, 0.2245759218931198, 0.46346136927604675]","[1, 4, 1]",all,2.0,"(10740, 20, 1366)","[(10740, 20, 3125)]",0.3999365419149399,1,1
0.9898172616958618,"[0.9709627032279968, 0.9683251976966858, 0.9706887602806091]","[1, 1, 1]",all,1.0,"(6045, 210, 3202)","[(6045, 27, 1949)]",0.9699922204017639,1,1
0.9954941272735596,"[0.928280770778656, 0.9723548293113708, 0.9948476552963257]","[1, 1, 1]",all,1.0,"(4433, 17, 862)","[(2187, 3, 4433), (2187, 8, 4433)]",0.9651610851287842,1,2
0.7034265398979187,"[0.5348278284072876, 0.5428997874259949, 0.274808794260025]","[1, 1, 1]",all,1.0,"(5632, 46, 259)","[(797, 86, 5632)]",0.4508454700311025,1,1
0.9237578511238098,"[0.9756282567977905, 0.9337537884712219, 0.9485141634941101]","[1, 1, 1]",all,1.0,"(3794, 23, 57)","[(6249, 13, 3794)]",0.9526320695877075,1,1
0.6916260123252869,"[0.4630066454410553, 0.8346355557441711, 0.5700449347496033]","[1, 1, 1]",all,1.0,"(13805, 17, 862)","[(13805, 85, 434)]",0.6225623786449432,1,1
