m0besxef;hasmetal;p124424;m0besxef;haskernel;k3f0aea5c32d;;;;;;;;;;7.361824;6.8213744;1;1.0
m0damwew;hasmetal;p125154;m0damwew;haskernel;k3f3638b288e;;;;;;;;;;9.071987;9.10841;1;1.0
m0arihis;hasmetal;p125000;m0arihis;haskernel;k30becb70b51;;;;;;;;;;9.12972;8.813515;1;1.0
m0dewloj;hassolvent;p16344;m0dewloj;haskernel;k24406e40b06;;;;;;;;;;6.573886;5.956309;1;2.6666666666666665
m0bohxaz;hasmetal;p124373;m0bohxaz;hasbond;b00840;;;;;;;;;;6.400729;6.9531612;1;1.0
m0bacmey;hasmetal;p124470;m0bacmey;hasbond;b00747;;;;;;;;;;9.178712;8.998717;1;1.0
m0dawwuv;hassolvent;p114798;m0dawwuv;haskernel;k2a6bb33a180;;;;;;;;;;6.3002734;6.370754;1;1.0
m0bopvim;hassolvent;p114798;m0bopvim;hashabit;h0cabc333278;;;;;;;;;;6.1372647;5.905533;1;1.6666666666666667
m0cuxfux;hassolvent;p114798;m0cuxfux;haskernel;k2a6bb33a180;;;;;;;;;;5.611521;5.776754;1;1.0
m0anedaz;hasmetal;p124014;m0anedaz;haskernel;k2f4bac7282d;;;;;;;;;;8.018354;8.282615;1;1.0
m0amebax;hassolvent;p114798;m0amebax;hashabit;h0cabc333278;;;;;;;;;;6.647769;6.4756947;1;1.0
m0diszub;haslinker;p11318;m0diszub;haskernel;k3cb4d2a60e0;;;;;;;;;;7.3928027;6.7491918;1;3.3333333333333335
m0cufjaq;hasmetal;p125000;m0cufjaq;haskernel;k290547caa35;;;;;;;;;;9.694649;9.548466;1;1.0
m0aqegaf;hasmetal;p124014;m0aqegaf;haskernel;k2a262952d7e;;;;;;;;;;7.7275677;7.6772037;1;1.0
m0comfam;hassolvent;p1702;m0comfam;haskernel;k24406e40b06;;;;;;;;;;6.064804;6.251654;1;2.3333333333333335
m0buwfoq;hassolvent;p114798;m0buwfoq;haskernel;k32fa7d3771c;;;;;;;;;;6.600716;6.6229515;1;1.0
m0bahpim;hasmetal;p125154;m0bahpim;haskernel;k2eb01eb8a2e;;;;;;;;;;8.310671;8.601123;1;1.0
m0cabnur01;haslinker;p1439434;m0cabnur01;haskernel;k2098f85c737;;;;;;;;;;8.001798;7.9912453;1;1.0
m0aminep;hasmetal;p13939;m0aminep;hasbond;b00308;;;;;;;;;;6.5435257;6.0788064;1;1.6666666666666667
m0dedgif;hassolvent;p16228;m0dedgif;haskernel;k3dbca5f1af8;;;;;;;;;;7.932828;7.464229;1;2.0
m0doppuw;hassolvent;p1887;m0doppuw;haskernel;k3e7acc1566a;;;;;;;;;;7.030814;7.502594;1;1.0
m0debkom;hasmetal;p124014;m0debkom;haskernel;k375928da215;;;;;;;;;;8.078315;8.007415;1;1.3333333333333333
m0cuswap;haslinker;p11318;m0cuswap;haskernel;k30ec8bd1701;;;;;;;;;;7.0560555;7.377077;1;1.6666666666666667
m0amofak;hassolvent;p1887;m0amofak;haskernel;k217ae834e3a;;;;;;;;;;5.5732427;5.3089747;1;2.0
m0amozuy;hasmetal;p14233003;m0amozuy;haskernel;k233a49c523f;;;;;;;;;;8.556391;8.795378;1;1.0
m0cukyaj;haslinker;p170088;m0cukyaj;haskernel;k3aeb7e80a17;;;;;;;;;;9.105986;8.715165;1;1.0
m0cavrey;hassolvent;p16228;m0cavrey;haskernel;k3dbca5f1af8;;;;;;;;;;7.4622583;7.479187;1;1.0
m0aguyik;hasmetal;p114814;m0aguyik;haskernel;k25466a20091;;;;;;;;;;8.041879;7.735808;1;1.0
m0daknag;hassolvent;p114798;m0daknag;haskernel;k30d4a6c65af;;;;;;;;;;5.8254786;6.3858933;1;2.0
m0barjov;haslinker;p1444972;m0barjov;haspaper;p0966d11c52f;;;;;;;;;;7.5252743;6.5143185;1;4.0
m0comfam;hassolvent;p16228;m0comfam;hashabit;h0e2e2f68843;;;;;;;;;;6.524705;6.0279827;1;3.3333333333333335
m0cutkim;haslinker;p11318;m0cutkim;haskernel;k3cb4d2a60e0;;;;;;;;;;9.289517;9.132079;1;1.0
m0cutkim;hasmetal;p125154;m0cutkim;hasbond;b00848;;;;;;;;;;9.311214;9.426656;1;1.0
m0cutbea;hasmetal;p124809;m0cutbea;haskernel;k233a49c523f;;;;;;;;;;8.256278;7.9437194;1;1.0
m0aguheq;hassolvent;p1702;m0aguheq;haskernel;k3caebff5ec8;;;;;;;;;;5.8443813;5.856131;1;1.6666666666666667
m0alojoa;hassolvent;p1887;m0alojoa;haskernel;k310bce82c0c;;;;;;;;;;6.6308665;6.6164703;1;1.0
m0ajesaj;hassolvent;p16228;m0ajesaj;haskernel;k266528b3fc5;;;;;;;;;;6.6042147;5.9558907;1;2.0
m0ciccau;hassolvent;p16344;m0ciccau;hasbond;b00647;;;;;;;;;;6.817111;5.982183;1;1.6666666666666667
m0bemhux;hassolvent;p16344;m0bemhux;haskernel;k268c5280d05;;;;;;;;;;7.8395467;7.050179;1;1.0
m0cofnan;hassolvent;p16344;m0cofnan;haskernel;k2197b72ce88;;;;;;;;;;6.6050253;5.986346;1;1.6666666666666667
m0davkiv;hassolvent;p16344;m0davkiv;haskernel;k2c583189f0f;;;;;;;;;;7.6984987;7.1671786;1;1.0
m0cuxfux;hassolvent;p1702;m0cuxfux;haskernel;k2098f85c737;;;;;;;;;;5.5467067;5.743986;1;1.0
m0amebax;hasmetal;p116683880;m0amebax;haskernel;k21067f1ef4f;;;;;;;;;;8.425178;8.71968;1;1.0
m0cojvop;hasmetal;p116683880;m0cojvop;haskernel;k26ab63abdb4;;;;;;;;;;7.4078636;6.6488433;1;1.0
m0besxef;hasmetal;p13007855;m0besxef;haskernel;k24731e2053c;;;;;;;;;;7.018736;7.004766;1;1.0
m0belcut;hasmetal;p124480;m0belcut;hasbond;b00725;;;;;;;;;;8.009679;8.4683485;1;1.0
m0bopvim;hasmetal;p116683880;m0bopvim;haskernel;k358ba4af2a8;;;;;;;;;;8.615043;8.064725;1;1.0
m0afatad;hassolvent;p1887;m0afatad;hascolor;c0a03fca8a9b;;;;;;;;;;5.702909;5.3184357;1;1.6666666666666667
