m0arihis;hasmetal;p125000;m0arihis;hasbond;b00727;m0arihis;haskernel;k30becb70b51;m0arihis;haskernel;k3b5a7bdff7c;m0arihis;haskernel;k2098f85c737;9.129719;9.115668;1;1.0
m0bohxaz;hasmetal;p124373;m0bohxaz;haskernel;k203efbc11a7;m0bohxaz;haskernel;k21c221894a6;m0bohxaz;hasbond;b00840;m0bohxaz;haskernel;k223fca4206c;6.4007263;6.242808;1;1.3333333333333333
m0bacmey;hasmetal;p124470;m0bacmey;haskernel;k24f9592f93e;m0bacmey;haskernel;k263a96543f0;m0bacmey;hascolor;c06d8a0cc6bc;m0bacmey;hasbond;b00747;9.178709;8.796454;1;1.0
m0dawwuv;hassolvent;p114798;m0dawwuv;hascolor;c06d8a0cc6bc;m0dawwuv;haskernel;k2da27f15f31;m0dawwuv;haspaper;p0ebe6e48fc3;m0dawwuv;haskernel;k2a6bb33a180;6.300271;6.015878;1;1.0
m0cuxfux;hassolvent;p114798;m0cuxfux;haskernel;k2da27f15f31;m0cuxfux;haskernel;k24406e40b06;m0cuxfux;haskernel;k2098f85c737;m0cuxfux;haskernel;k2a6bb33a180;5.6115227;5.6511784;1;1.0
m0amebax;hassolvent;p114798;m0amebax;haskernel;k32fa7d3771c;m0amebax;hascolor;c06d8a0cc6bc;m0amebax;haskernel;k218ed025f47;m0amebax;hashabit;h0cabc333278;6.6477704;6.4956946;1;1.0
m0anedaz;hasmetal;p124014;m0anedaz;hasbond;b01729;m0anedaz;haskernel;k2f4bac7282d;m0anedaz;haskernel;k24406e40b06;m0anedaz;hasbond;b00829;8.018354;7.8651524;1;1.3333333333333333
m0aqegaf;hasmetal;p124014;m0aqegaf;hasbond;b00729;m0aqegaf;haskernel;k375928da215;m0aqegaf;haskernel;k2a262952d7e;m0aqegaf;haskernel;k292e2aab770;7.7275705;7.172857;1;1.0
m0cabnur01;haslinker;p1439434;m0cabnur01;haskernel;k29a07a89023;m0cabnur01;haskernel;k2098f85c737;m0cabnur01;haskernel;k2812a0c70ee;m0cabnur01;haskernel;k36bf3c0a761;8.001791;7.8892455;1;1.3333333333333333
m0buwfoq;hassolvent;p114798;m0buwfoq;haskernel;k32fa7d3771c;m0buwfoq;haskernel;k218ed025f47;m0buwfoq;haskernel;k2da27f15f31;m0buwfoq;haskernel;k24406e40b06;6.6007233;6.49473;1;1.0
m0comfam;hassolvent;p1702;m0comfam;haskernel;k29a07a89023;m0comfam;haskernel;k217ae834e3a;m0comfam;haskernel;k3867c795e43;m0comfam;haskernel;k24406e40b06;6.0648065;5.9426455;1;3.0
m0bahpim;hasmetal;p125154;m0bahpim;hasbond;b00848;m0bahpim;haskernel;k2eb01eb8a2e;m0bahpim;haskernel;k2da27f15f31;m0bahpim;haskernel;k3caebff5ec8;8.31067;8.657016;1;1.0
m0aminep;hasmetal;p13939;m0aminep;haskernel;k30d796a7c43;m0aminep;haskernel;k3d8d21b08e6;m0aminep;hasbond;b00308;m0aminep;haskernel;k21dd180c7e9;6.5435305;5.6694713;1;3.3333333333333335
m0doppuw;hassolvent;p1887;m0doppuw;haskernel;k2098f85c737;m0doppuw;haskernel;k2a93d58fdc2;m0doppuw;haskernel;k217ae834e3a;m0doppuw;haskernel;k3e7acc1566a;7.030819;7.2306957;1;1.0
m0cuswap;haslinker;p11318;m0cuswap;haskernel;k24406e40b06;m0cuswap;haskernel;k3caebff5ec8;m0cuswap;haskernel;k2098f85c737;m0cuswap;haskernel;k30ec8bd1701;7.0560546;6.5192566;1;3.3333333333333335
m0amofak;hassolvent;p1887;m0amofak;haskernel;k2da27f15f31;m0amofak;haskernel;k24406e40b06;m0amofak;hasbond;b00616;m0amofak;haskernel;k217ae834e3a;5.5732403;5.4687123;1;2.0
m0comfam;hassolvent;p16228;m0comfam;haskernel;k217ae834e3a;m0comfam;hasoperation;o07fdab1c931;m0comfam;haskernel;k392c69e645a;m0comfam;hashabit;h0e2e2f68843;6.5246983;5.569561;1;4.333333333333333
